Report utilization for one of the most complex string/reg of AutomataZoo
For each BB #instructions executed by BB_i/#number of instructions executed by all BBs.
Between parenthesis number of instructions
BB utilization this iteration	 0.313725 (         16)	 0.431373 (         22)	 0.215686 (         11)	 0.039216 (          2)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)
BB utilization this iteration	 0.000000 (          0)	 0.301587 (         19)	 0.460317 (         29)	 0.206349 (         13)	 0.031746 (          2)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)
BB utilization this iteration	 0.000000 (          0)	 0.000000 (          0)	 0.306452 (         19)	 0.451613 (         28)	 0.209677 (         13)	 0.032258 (          2)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)
BB utilization this iteration	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.301587 (         19)	 0.460317 (         29)	 0.206349 (         13)	 0.031746 (          2)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)
BB utilization this iteration	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.306452 (         19)	 0.451613 (         28)	 0.209677 (         13)	 0.032258 (          2)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)
BB utilization this iteration	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.301587 (         19)	 0.460317 (         29)	 0.206349 (         13)	 0.031746 (          2)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)
BB utilization this iteration	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.306452 (         19)	 0.451613 (         28)	 0.209677 (         13)	 0.032258 (          2)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)
BB utilization this iteration	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.301587 (         19)	 0.460317 (         29)	 0.206349 (         13)	 0.031746 (          2)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)
BB utilization this iteration	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.306452 (         19)	 0.451613 (         28)	 0.209677 (         13)	 0.032258 (          2)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)
BB utilization this iteration	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)	 0.296875 (         19)	 0.468750 (         30)	 0.203125 (         13)	 0.031250 (          2)	 0.000000 (          0)	 0.000000 (          0)	 0.000000 (          0)
